id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
59a13ceb,2021-10-16,44892709,724491,NA,609955554,416878985,218813029,194838483,51837,16201,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-17,44914861,724673,NA,610657424,417150471,218895529,194924200,51504,16038,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-18,45036894,726545,NA,611893348,417989866,219116136,195138416,51723,16213,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-19,45120577,728682,NA,613618584,418821317,219316438,195333893,50595,15980,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-20,45207199,731688,NA,615509727,419668070,219517546,195531314,49311,15678,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-21,45289145,733564,NA,617357108,420538139,219722408,195731577,48405,15312,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-22,45376442,735699,NA,618981265,421928294,220009783,195979799,47454,15078,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-23,45406266,736148,NA,620089945,422761685,220181535,196113930,46398,14681,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-24,45423368,736296,NA,620726801,423237304,220286860,196194757,46114,14445,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
59a13ceb,2021-10-25,45528929,737709,NA,621887519,424775476,220582456,196399797,46380,14612,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,United States,NA,NA,38,-97,326687501,USA,US,840,USD,NA,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,NA,USA
