date,deaths,people_vaccinated,people_fully_vaccinated,timepoint,people_vaccinated_change,deaths_change,people_fully_vaccinated_change
2021-08-27,636509,205509915,179736592,258,533464,1774,543992
2021-08-28,637076,205829068,180081187,259,319153,567,344595
2021-08-29,637356,206022846,180288967,260,193778,280,207780
2021-08-30,639081,206442182,180727413,261,419336,1725,438446
2021-08-31,640519,206865219,181157998,262,423037,1438,430585
2021-09-01,642454,207292449,181571499,263,427230,1935,413501
2021-09-02,645391,207694911,181975901,264,402462,2937,404402
2021-09-03,647370,208148594,182468338,265,453683,1979,492437
2021-09-04,647896,208394348,182747117,266,245754,526,278779
2021-09-05,648273,208562153,182921411,267,167805,377,174294
2021-09-06,648788,208643647,183008689,268,81494,515,87278
2021-09-07,651014,208998698,183493518,269,355051,2226,484829
2021-09-08,653216,209365235,183900013,270,366537,2202,406495
2021-09-09,656448,209738332,184302325,271,373097,3232,402312
2021-09-10,658865,210189605,184807143,272,451273,2417,504818
2021-09-11,659556,210449808,185111791,273,260203,691,304648
2021-09-12,659854,210607970,185287936,274,158162,298,176145
2021-09-13,661579,210946424,185674894,275,338454,1725,386958
2021-09-14,664235,211264249,186056489,276,317825,2656,381595
2021-09-15,666816,211579753,186449543,277,315504,2581,393054
2021-09-16,670234,211893181,186845153,278,313428,3418,395610
2021-09-17,672813,212246231,187329087,279,353050,2579,483934
2021-09-18,673637,212451983,187606732,280,205752,824,277645
2021-09-19,673939,212572910,187775224,281,120927,302,168492
2021-09-20,676191,212843199,188135176,282,270289,2252,359952
2021-09-21,678556,213104749,188483482,283,261550,2365,348306
2021-09-22,681343,213360473,188822202,284,255724,2787,338720
2021-09-23,684498,213618091,189153317,285,257618,3155,331115
2021-09-24,687247,213939876,189568675,286,321785,2749,415358
2021-09-25,687876,214140285,189799222,287,200409,629,230547
2021-09-26,688178,214259208,189946325,288,118923,302,147103
2021-09-27,690559,214554243,190170548,289,295035,2381,224223
2021-09-28,692878,214841139,190476943,290,286896,2319,306395
2021-09-29,695393,215127006,190790886,291,285867,2515,313943
2021-09-30,698136,215414801,191115499,292,287795,2743,324613
2021-10-01,700583,215730864,191501793,293,316063,2447,386294
2021-10-02,701231,215903172,191711388,294,172308,648,209595
2021-10-03,701480,216007702,191843635,295,104530,249,132247
2021-10-04,703515,216252645,192103509,296,244943,2035,259874
2021-10-05,705543,216494851,192363395,297,242206,2028,259886
2021-10-06,708073,216741507,192625763,298,246656,2530,262368
2021-10-07,710522,216993505,192888722,299,251998,2449,262959
2021-10-08,712967,217277508,193206448,300,284003,2445,317726
2021-10-09,713480,217423216,193376260,301,145708,513,169812
2021-10-10,713961,217514823,193482792,302,91607,481,106532
2021-10-11,715123,217736878,193706298,303,222055,1162,223506
2021-10-12,717648,217963799,193943803,304,226921,2525,237505
2021-10-13,719887,218189574,194176434,305,225775,2239,232631
2021-10-14,721929,218413844,194408838,306,224270,2042,232404
2021-10-15,724104,218673702,194691043,307,259858,2175,282205
2021-10-16,724491,218813029,194838483,308,139327,387,147440
2021-10-17,724673,218895529,194924200,309,82500,182,85717
2021-10-18,726545,219116136,195138416,310,220607,1872,214216
2021-10-19,728682,219316438,195333893,311,200302,2137,195477
2021-10-20,731688,219517546,195531314,312,201108,3006,197421
2021-10-21,733564,219722408,195731577,313,204862,1876,200263
2021-10-22,735699,220009783,195979799,314,287375,2135,248222
2021-10-23,736148,220181535,196113930,315,171752,449,134131
2021-10-24,736296,220286860,196194757,316,105325,148,80827
2021-10-25,737709,220582456,196399797,317,295596,1413,205040
2021-10-26,739445,220873196,196602665,318,290740,1736,202868
2021-10-27,741460,221172665,196811325,319,299469,2015,208660
2021-10-28,743242,221461690,197022592,320,289025,1782,211267
2021-10-29,745262,221780428,197263230,321,318738,2020,240638
2021-10-30,745586,221942926,197382909,322,162498,324,119679
2021-10-31,745743,222040977,197453679,323,98051,157,70770
2021-11-01,746894,222321422,197651775,324,280445,1151,198096
2021-11-02,748410,222598916,197841159,325,277494,1516,189384
2021-11-03,750290,222905601,198035339,326,306685,1880,194180
2021-11-04,751413,223251430,198232223,327,345829,1123,196884
2021-11-05,753734,223701896,198464240,328,450466,2321,232017
2021-11-06,754136,224094052,198585019,329,392156,402,120779
2021-11-07,754268,224322708,198657527,330,228656,132,72508
2021-11-08,755489,224791913,198832488,331,469205,1221,174961
2021-11-09,757205,225311351,198999515,332,519438,1716,167027
2021-11-10,758841,225884692,199171275,333,573341,1636,171760
2021-11-11,759563,226431418,199324778,334,546726,722,153503
2021-11-12,761624,227068199,199524689,335,636781,2061,199911
2021-11-13,762092,227604657,199628320,336,536458,468,103631
2021-11-14,762234,227844476,199689487,337,239819,142,61167
2021-11-15,763425,228300291,199858253,338,455815,1191,168766
2021-11-16,764871,228784016,200026559,339,483725,1446,168306
2021-11-17,766489,229286851,200200021,340,502835,1618,173462
2021-11-18,769820,229789168,200372514,341,502317,3331,172493
2021-11-19,771811,230368064,200569168,342,578896,1991,196654
2021-11-20,772136,230826014,200671170,343,457950,325,102002
2021-11-21,772259,231031022,200732420,344,205008,123,61250
2021-11-22,773402,231514566,200905596,345,483544,1143,173176
2021-11-23,774880,231999057,201071884,346,484491,1478,166288
2021-11-24,776516,232396688,201228032,347,397631,1636,156148
2021-11-25,776893,232405512,201233640,348,8824,377,5608
2021-11-26,777437,232712999,201413060,349,307487,544,179420
2021-11-27,777629,232927824,201616260,350,214825,192,203200
2021-11-28,777750,233066603,201767312,351,138779,121,151052
2021-11-29,779624,233412474,202135185,352,345871,1874,367873
2021-11-30,781183,233810596,202533633,353,398122,1559,398448
2021-12-01,783149,234264679,202953700,354,454083,1966,420067
2021-12-02,784506,234705085,203354229,355,440406,1357,400529
2021-12-03,786667,235184112,203854914,356,479027,2161,500685
2021-12-04,787157,235479259,204317809,357,295147,490,462895
2021-12-05,787318,235641697,204510766,358,162438,161,192957
2021-12-06,788660,236023505,204841482,359,381808,1342,330716
2021-12-07,790434,236419094,205188659,360,395589,1774,347177
2021-12-08,792313,236818857,205546716,361,399763,1879,358057
2021-12-09,793608,237214719,205891338,362,395862,1295,344622
2021-12-10,795711,237632372,206296674,363,417653,2103,405336
2021-12-11,796127,237894122,206639239,364,261750,416,342565
2021-12-12,796322,238043102,206770864,365,148980,195,131625
2021-12-13,797611,238382814,207054085,366,339712,1289,283221
2021-12-14,799345,238743574,207346014,367,360760,1734,291929
2021-12-15,801438,239115179,207611589,368,371605,2093,265575
2021-12-16,802601,239498074,207783888,369,382895,1163,172299
2021-12-17,804697,239923772,208040317,370,425698,2096,256429
2021-12-18,805171,240206182,208205032,371,282410,474,164715
2021-12-19,805334,240372099,208287813,372,165917,163,82781
2021-12-20,806753,240806068,208517246,373,433969,1419,229433
2021-12-21,808841,241264293,208762583,374,458225,2088,245337
2021-12-22,810927,241704145,209004347,375,439852,2086,241764
2021-12-23,814211,242066720,209184233,376,362575,3284,179886
2021-12-24,815213,242167663,209241747,377,100943,1002,57514
2021-12-25,815312,242169779,209242800,378,2116,99,1053
2021-12-26,815391,242298905,209327540,379,129126,79,84740
2021-12-27,817134,242687292,209560799,380,388387,1743,233259
2021-12-28,819630,243116377,209806691,381,429085,2496,245892
2021-12-29,821731,243545897,210047377,382,429520,2101,240686
2021-12-30,823141,243944661,210265156,383,398764,1410,217779
2021-12-31,824336,244104717,210360591,384,160056,1195,95435
2022-01-01,824609,244139023,210378438,385,34306,273,17847
2022-01-02,824841,244273172,210470142,386,134149,232,91704
2022-01-03,826491,244609148,210670531,387,335976,1650,200389
2022-01-04,828853,244974854,210887459,388,365706,2362,216928
2022-01-05,830981,245348202,211103637,389,373348,2128,216178
2022-01-06,832953,245715353,211319761,390,367151,1972,216124
2022-01-07,835637,246110061,211569940,391,394708,2684,250179
2022-01-08,836327,246380743,211747838,392,270682,690,177898
2022-01-09,836728,246520085,211824316,393,139342,401,76478
2022-01-10,838412,246845760,212017928,394,325675,1684,193612
2022-01-11,841092,247179156,212222112,395,333396,2680,204184
2022-01-12,843853,247514197,212426178,396,335041,2761,204066
2022-01-13,846110,247846001,212618022,397,331804,2257,191844
2022-01-14,849101,248219780,212795330,398,373779,2991,177308
2022-01-15,850099,248442969,212883686,399,223189,998,88356
2022-01-16,850509,248547760,212942215,400,104791,410,58529
